,Unnamed: 0,name,year,runtime,genre,rating,metascore,timeline,votes,gross
474,474,Call Me by Your Name,2017,132,"Drama, Romance",7.9,93.0,"In 1980s Italy, romance blossoms between a seventeen-year-old student and the older man hired as his father's research assistant.","223,384",$18.10M
475,475,"I, Daniel Blake",2016,100,Drama,7.9,78.0,"After having suffered a heart-attack, a 59-year-old carpenter must fight the bureaucratic forces of the system in order to receive Employment and Support Allowance.","55,508",$0.26M
476,476,Isle of Dogs,2018,101,"Animation, Adventure, Comedy",7.9,82.0,"Set in Japan, Isle of Dogs follows a boy's odyssey in search of his lost dog.","144,634",$32.02M
477,477,Hunt for the Wilderpeople,2016,101,"Adventure, Comedy, Drama",7.9,81.0,A national manhunt is ordered for a rebellious kid and his foster uncle who go missing in the wild New Zealand bush.,"115,782",$5.20M
479,479,Captain Fantastic,2016,118,"Comedy, Drama",7.9,72.0,"In the forests of the Pacific Northwest, a father devoted to raising his six kids with a rigorous physical and intellectual education is forced to leave his paradise and enter the world, challenging his idea of what it means to be a parent.","197,633",$5.88M
480,480,Sing Street,2016,106,"Comedy, Drama, Music",7.9,79.0,A boy growing up in Dublin during the 1980s escapes his strained family life by starting a band to impress the mysterious girl he likes.,"86,902",$3.24M
481,481,Thor: Ragnarok,2017,130,"Action, Adventure, Comedy",7.9,74.0,"Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela.","613,362",$315.06M
482,482,Jojo Rabbit,2019,108,"Comedy, Drama, War",7.9,58.0,A young boy in Hitler's army finds out his mother is hiding a Jewish girl in their home.,"319,497",$0.35M
483,483,Arrival,II 2016,116,"Drama, Sci-Fi",7.9,81.0,A linguist works with the military to communicate with alien lifeforms after twelve mysterious spacecraft appear around the world.,"611,905",$100.55M
484,484,Star Wars: Episode VII - The Force Awakens,2015,138,"Action, Adventure, Sci-Fi",7.9,80.0,"As a new threat to the galaxy rises, Rey, a desert scavenger, and Finn, an ex-stormtrooper, must join Han Solo and Chewbacca to search for the one hope of restoring peace.","871,464",$936.66M
485,485,Before Midnight,2013,109,"Drama, Romance",7.9,94.0,We meet Jesse and Celine nine years on in Greece. Almost two decades have passed since their first meeting on that train bound for Vienna.,"144,778",$8.11M
486,486,X-Men: Days of Future Past,2014,132,"Action, Adventure, Sci-Fi",7.9,75.0,The X-Men send Wolverine to the past in a desperate effort to change history and prevent an event that results in doom for both humans and mutants.,"668,921",$233.92M
487,487,Once Upon a Time in Anatolia,2011,157,"Crime, Drama",7.9,82.0,A group of men set out in search of a dead body in the Anatolian steppes.,"43,282",$0.14M
488,488,Bohemian Rhapsody,2018,134,"Biography, Drama, Music",7.9,49.0,"The story of the legendary British rock band Queen and lead singer Freddie Mercury, leading up to their famous performance at Live Aid (1985).","468,800",$216.43M
489,489,The Artist,I 2011,100,"Comedy, Drama, Romance",7.9,89.0,An egomaniacal film star develops a relationship with a young dancer against the backdrop of Hollywood's silent era.,"233,136",$44.67M
490,490,Edge of Tomorrow,2014,113,"Action, Adventure, Sci-Fi",7.9,71.0,"A soldier fighting aliens gets to relive the same day over and over again, the day restarting every time he dies.","611,412",$100.21M
491,491,Amour,2012,127,Drama,7.9,94.0,"Georges and Anne are an octogenarian couple. They are cultivated, retired music teachers. Their daughter, also a musician, lives in Britain with her family. One day, Anne has a stroke, and the couple's bond of love is severely tested.","94,665",$6.74M
492,492,A Prophet,2009,155,"Crime, Drama",7.9,90.0,A young Algerian man is sent to a French prison.,"94,795",$2.08M
493,493,Moon,2009,97,"Drama, Mystery, Sci-Fi",7.9,67.0,"Astronaut Sam Bell has a quintessentially personal encounter toward the end of his three-year stint on the Moon, where he, working alongside his computer, GERTY, sends back to Earth parcels of a resource that has helped diminish our planet's power problems.","339,661",$5.01M
494,494,Let the Right One In,2008,114,"Crime, Drama, Fantasy",7.9,82.0,"Oskar, an overlooked and bullied boy, finds love and revenge through Eli, a beautiful but peculiar girl.","207,465",$2.12M
495,495,District 9,2009,112,"Action, Sci-Fi, Thriller",7.9,81.0,Violence ensues after an extraterrestrial race forced to live in slum-like conditions on Earth finds a kindred spirit in a government agent exposed to their biotechnology.,"644,556",$115.65M
496,496,The Wrestler,2008,109,"Drama, Sport",7.9,80.0,"A faded professional wrestler must retire, but finds his quest for a new life outside the ring a dispiriting struggle.","292,051",$26.24M
498,498,Boyhood,I 2014,165,Drama,7.9,100.0,"The life of Mason, from early childhood to his arrival at college.","339,203",$25.38M
499,499,"4 Months, 3 Weeks and 2 Days",2007,113,Drama,7.9,97.0,A woman assists her friend in arranging an illegal abortion in 1980s Romania.,"57,429",$1.19M
500,500,Star Trek,2009,127,"Action, Adventure, Sci-Fi",7.9,82.0,The brash James T. Kirk tries to live up to his father's legacy with Mr. Spock keeping him in check as a vengeful Romulan from the future creates black holes to destroy the Federation one planet at a time.,"581,539",$257.73M
501,501,In Bruges,2008,107,"Comedy, Crime, Drama",7.9,67.0,"Guilt-stricken after a job gone wrong, hitman Ray and his partner await orders from their ruthless boss in Bruges, Belgium, the last place in the world Ray wants to be.","395,460",$7.76M
503,503,Letters from Iwo Jima,2006,141,"Action, Adventure, Drama",7.9,89.0,"The story of the battle of Iwo Jima between the United States and Imperial Japan during World War II, as told from the perspective of the Japanese who fought it.","155,450",$13.76M
504,504,The Fall,2006,117,"Adventure, Drama, Fantasy",7.9,64.0,"In a hospital on the outskirts of 1920s Los Angeles, an injured stuntman begins to tell a fellow patient, a little girl with a broken arm, a fantastic story of five mythical heroes. Thanks to his fractured state of mind and her vivid imagination, the line between fiction and reality blurs as the tale advances.","108,259",$2.28M
505,505,Life of Pi,2012,127,"Adventure, Drama, Fantasy",7.9,79.0,"A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away, he forms an unexpected connection with another survivor: a fearsome Bengal tiger.","589,452",$124.99M
506,506,Fantastic Mr. Fox,2009,87,"Animation, Adventure, Comedy",7.9,83.0,An urbane fox cannot resist returning to his farm raiding ways and then must help his community survive the farmers' retaliation.,"205,982",$21.00M
508,508,The Chorus,2004,97,"Comedy, Drama, Music",7.9,56.0,The new teacher at a severely administered boys' boarding school works to positively affect the students' lives through music.,"58,452",$3.64M
509,509,Iron Man,2008,126,"Action, Adventure, Sci-Fi",7.9,79.0,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.","959,046",$318.41M
